"","OriginalNames","AccN","Species","file","OldSpecies"
"1","AY011246.1 Felis catus adenosine A3 receptor (ADORA3) gene, partial cds","AY011246.1","Felis_catus","ADORA3.fasta","Felis_catus"
"2","GU167677.1 Phoca largha adenosine A3 receptor (ADORA3) gene, exon 2 and partial cds","GU167677.1","Phoca_largha","ADORA3.fasta","Phoca_largha"
