"","Species","NonGaps","removedPerGaps","removedMasking"
"Felis_silvestris","Felis_silvestris",48,FALSE,FALSE
"Felis_catus","Felis_catus",37,FALSE,FALSE
"Felis_chaus","Felis_chaus",0,TRUE,FALSE
"Felis_manul","Felis_manul",5,FALSE,FALSE
"Felis_margarita","Felis_margarita",40,FALSE,FALSE
"Vulpes_cana","Vulpes_cana",50,FALSE,FALSE
"Vulpes_corsac","Vulpes_corsac",50,FALSE,FALSE
"Vulpes_ferrilata","Vulpes_ferrilata",1,FALSE,FALSE
"Vulpes_lagopus","Vulpes_lagopus",37,FALSE,FALSE
"Vulpes_macrotis","Vulpes_macrotis",37,FALSE,FALSE
"Vulpes_pallida","Vulpes_pallida",0,TRUE,FALSE
"Vulpes_rueppellii","Vulpes_rueppellii",50,FALSE,FALSE
"Vulpes_vulpes","Vulpes_vulpes",37,FALSE,FALSE
"Vulpes_zerda","Vulpes_zerda",0,TRUE,FALSE
"Phoca_largha","Phoca_largha",50,FALSE,FALSE
"Phoca_vitulina","Phoca_vitulina",50,FALSE,FALSE
"Manis_pentadactyla","Manis_pentadactyla",21,FALSE,FALSE
